Restaurant Name,Country Code,City,Locality,Cuisines,cost,Has Table booking,Has Online delivery,Price range,rating,votes
Bean Here,1,Allahabad,Civil Lines,"['Cafe', 'Fast Food']",350,No,No,2,3.3,76
Bikanerwala,1,Allahabad,Civil Lines,"['North Indian', 'Street Food', 'Fast Food']",500,No,No,3,3.2,51
Dewsis,1,Allahabad,Civil Lines,"['North Indian', 'Chinese']",600,No,No,3,3.4,99
Friends Forever,1,Allahabad,Civil Lines,"['North Indian', 'Chinese']",600,No,No,3,3.4,83
Hotel Ravisha Continental,1,Allahabad,Civil Lines,"['North Indian', 'South Indian', 'Chinese']",600,No,No,3,3.4,18
KFC,1,Allahabad,Civil Lines,"['American', 'Fast Food']",500,No,No,3,3.4,58
McDonald's,1,Allahabad,Civil Lines,['Fast Food'],400,No,No,2,3.3,53
Pind Balluchi,1,Allahabad,Civil Lines,"['North Indian', 'Mughlai']",800,No,No,3,3.2,6
Pizza Hut,1,Allahabad,Civil Lines,"['Italian', 'Pizza']",700,No,No,3,3.4,35
Subway,1,Allahabad,Civil Lines,"['Fast Food', 'American', 'Salad', 'Healthy Food']",400,No,No,2,3.4,32
Tandoor Restaurant,1,Allahabad,Civil Lines,"['North Indian', 'Chinese']",500,No,No,3,3.2,151
The BrewMaster,1,Allahabad,Civil Lines,"['North Indian', 'Chinese', 'Italian']",0,No,No,1,3.3,49
The Tamarind Tree,1,Allahabad,Civil Lines,"['South Indian', 'Chinese']",500,No,No,3,3.4,106
Cafe El Chico,1,Allahabad,Civil Lines,"['Continental', 'Italian']",1000,No,No,4,3.6,59
Eat On,1,Allahabad,Civil Lines,['North Indian'],200,No,No,1,3.7,105
Hot Stuff,1,Allahabad,Civil Lines,"['North Indian', 'Fast Food']",500,No,No,3,3.5,105
Paradise,1,Allahabad,Civil Lines,"['Desserts', 'Fast Food']",500,No,No,3,3.6,57
Sagar Ratna,1,Allahabad,Tagore Town,"['South Indian', 'North Indian', 'Chinese', 'Continental']",400,No,No,2,3.5,134
Moti Mahal Delux,1,Allahabad,"Vinayak City Centre Mall, Civil Lines","['Mughlai', 'North Indian', 'Chinese']",800,No,No,3,3.3,58
Makhan Fish and Chicken Corner,1,Amritsar,Basant Nagar,"['North Indian', 'Chinese']",700,No,No,2,3.4,345
Charming Chicken,1,Amritsar,Basant Nagar,['North Indian'],300,No,No,1,3.9,151
Ahuja Milk Bhandar,1,Amritsar,Hathi Gate,['Beverages'],100,No,No,1,4.0,52
Crystal Restaurant,1,Amritsar,INA Colony,"['North Indian', 'Mughlai']",800,No,No,3,3.4,122
Brijwasi Chat Bhandar,1,Amritsar,INA Colony,['Street Food'],150,No,No,1,3.6,56
Bubby Fish & Chicken Corner,1,Amritsar,INA Colony,['North Indian'],300,No,No,1,3.5,91
Bon Gateau,1,Amritsar,Ranjit Avenue,"['Cafe', 'Bakery', 'Fast Food']",500,No,No,2,3.4,26
The Yellow Chilli,1,Amritsar,Ranjit Avenue,"['North Indian', 'Mughlai', 'Chinese']",1200,No,No,3,3.4,98
La Roma Pizzeria,1,Amritsar,Ranjit Avenue,"['Fast Food', 'Italian']",400,No,No,2,3.5,111
Sakhis Watz Kukin,1,Amritsar,Ranjit Avenue,"['North Indian', 'Chinese']",700,No,No,2,3.6,51
The Kulcha Land,1,Amritsar,Ranjit Avenue,"['North Indian', 'Street Food']",200,No,No,1,3.9,206
Shudh Restaurant,1,Amritsar,Town Hall,"['North Indian', 'South Indian', 'Chinese', 'Fast Food']",600,No,No,2,3.4,44
Bade Bhai Ka Brothers' Dhaba,1,Amritsar,Town Hall,"['North Indian', 'Fast Food']",500,No,No,2,3.7,94
Bharawan Da Dhaba,1,Amritsar,Town Hall,"['North Indian', 'Fast Food']",500,No,No,2,3.5,461
Brothers Dhaba,1,Amritsar,Town Hall,['North Indian'],500,No,No,2,3.8,276
Brothers' Amritsari Dhaba,1,Amritsar,Town Hall,['North Indian'],400,No,No,2,3.8,71
Gurdas Ram Jalebi Wala,1,Amritsar,Town Hall,['Mithai'],100,No,No,1,4.1,104
Kesar Da Dhabha,1,Amritsar,Town Hall,['North Indian'],500,No,No,2,4.1,878
Beera Chicken Corner,1,Amritsar,White Avenue,['North Indian'],500,No,No,2,3.8,192
Surjit Food Plaza,1,Amritsar,White Avenue,['North Indian'],1000,No,No,3,3.5,96
Kanha Sweets,1,Amritsar,White Avenue,['Fast Food'],150,No,No,1,4.1,140
Kream N Krunch,1,Aurangabad,Akashwani,"['North Indian', 'Chinese', 'Continental', 'Italian']",800,No,No,3,3.6,240
Balbeer's Kitchen & Bar,1,Aurangabad,Chicalthana,"['Italian', 'Continental', 'Chinese', 'North Indian']",850,No,No,3,3.3,65
Angeethi Restaurant,1,Aurangabad,CIDCO,"['North Indian', 'Chinese']",600,No,No,2,3.3,63
Domino's Pizza,1,Aurangabad,CIDCO,['Pizza'],700,No,No,2,3.1,19
Hotel Laadli,1,Aurangabad,CIDCO,"['North Indian', 'South Indian']",350,No,No,2,3.4,46
Indiana Veg Restaurant,1,Aurangabad,CIDCO,"['South Indian', 'North Indian', 'Chinese', 'Fast Food']",450,No,No,2,3.4,75
Madhuban Restaurant - Welcome Hotel Rama International,1,Aurangabad,CIDCO,"['North Indian', 'Chinese', 'Continental', 'Italian', 'Mexican']",1800,No,No,4,3.4,94
Mauj Restaurant,1,Aurangabad,CIDCO,"['Italian', 'Fast Food', 'North Indian', 'Chinese']",500,No,No,2,3.3,47
Naivedya,1,Aurangabad,CIDCO,['North Indian'],500,No,No,2,3.4,71
d' Curry House,1,Aurangabad,"Hotel Green Olive, Nirala Bazar","['Continental', 'Chinese', 'Biryani', 'North Indian']",1000,No,No,3,3.6,73
Mokoholic Juice Bar,1,Aurangabad,Mondha,"['Juices', 'Desserts']",300,No,No,1,3.5,21
Ashoka's Veg Restaurant,1,Aurangabad,Nirala Bazar,"['South Indian', 'Chinese', 'North Indian']",400,No,No,2,3.3,46
Kareem's Fine Dining,1,Aurangabad,Nirala Bazar,"['Mughlai', 'Biryani']",700,No,No,2,3.3,45
That Baat,1,Aurangabad,Nirala Bazar,['Maharashtrian'],450,No,No,2,3.4,34
Bhoj Restaurant,1,Aurangabad,Nirala Bazar,['North Indian'],450,No,No,2,3.7,89
Downside Up,1,Aurangabad,Nyay Nagar,"['Cafe', 'Mughlai', 'North Indian']",400,No,No,2,3.2,8
Kareem's Kabab & Biryani,1,Aurangabad,"Prozone Mall, Chicalthana",['Mughlai'],650,No,No,2,3.4,39
Great Sagar Restaurant,1,Aurangabad,Shahgunj,"['North Indian', 'Mughlai']",600,No,No,2,3.3,74
Kailash Restaurant,1,Aurangabad,Usmanpura,"['North Indian', 'Chinese', 'South Indian', 'Fast Food']",450,No,No,2,3.3,76
Yalla Yalla,1,Aurangabad,Usmanpura,"['North Indian', 'Hyderabadi']",500,No,No,2,3.3,71
Sultans of Spice,1,Bangalore,"BluPetal Hotel, Koramangala","['North Indian', 'Mughlai']",1300,Yes,Yes,3,4.1,2416
The Fatty Bao - Asian Gastro Bar,1,Bangalore,Indiranagar,['Asian'],2400,Yes,Yes,4,4.7,2369
Toit,1,Bangalore,Indiranagar,"['Italian', 'American', 'Pizza']",2000,No,No,4,4.8,10934
Three Dots & A Dash,1,Bangalore,Indiranagar,"['European', 'Continental']",1300,Yes,No,3,3.9,1354
Bombay Brasserie,1,Bangalore,Indiranagar,['Modern Indian'],1500,No,Yes,3,4.2,231
Glen's Bakehouse,1,Bangalore,Indiranagar,"['Bakery', 'Desserts', 'Cafe']",800,No,No,2,4.0,3533
Onesta,1,Bangalore,Indiranagar,"['Pizza', 'Cafe', 'Italian']",600,No,Yes,2,4.3,1413
Onesta,1,Bangalore,JP Nagar,"['Pizza', 'Cafe', 'Italian']",600,No,No,2,4.6,781
ECHOES Koramangala,1,Bangalore,Koramangala 5th Block,"['Continental', 'American', 'Italian', 'North Indian', 'Chinese', 'Cafe']",950,No,No,2,4.7,276
Truffles,1,Bangalore,Koramangala 5th Block,"['American', 'Burger', 'Cafe']",800,No,Yes,2,4.7,9667
The Black Pearl,1,Bangalore,Koramangala 5th Block,"['North Indian', 'European', 'Mediterranean']",1400,Yes,No,3,4.1,5385
Eat Street,1,Bangalore,Koramangala 6th Block,"['North Indian', 'Chinese', 'Italian', 'Street Food', 'Desserts']",400,No,Yes,1,4.3,753
Koramangala Social,1,Bangalore,Koramangala 7th Block,"['Continental', 'American']",1500,No,No,3,4.5,1288
AB's - Absolute Barbecues,1,Bangalore,Marathahalli,"['European', 'Mediterranean', 'North Indian']",1400,No,No,3,4.6,6907
Flechazo,1,Bangalore,Marathahalli,"['Asian', 'Mediterranean', 'North Indian']",1200,Yes,No,3,4.4,983
Onesta,1,Bangalore,New BEL Road,"['Pizza', 'Cafe', 'Italian']",600,No,No,2,4.6,627
Communiti,1,Bangalore,Residency Road,['Continental'],1200,No,No,3,4.2,334
Big Brewsky,1,Bangalore,Sarjapur Road,"['Finger Food', 'North Indian', 'Italian', 'Continental', 'Thai', 'South Indian']",1800,Yes,Yes,3,4.5,5705
Hoot,1,Bangalore,Sarjapur Road,"['Continental', 'Italian', 'North Indian']",1400,No,No,3,3.9,405
Farzi Cafe,1,Bangalore,UB City,['Modern Indian'],1500,No,No,3,4.4,754
Black N White Cafe,1,Bhopal,Arera Colony,"['Cafe', 'Chinese', 'North Indian']",200,No,No,1,3.3,51
Maybe There,1,Bhopal,Arera Colony,['Cafe'],600,No,No,2,3.4,63
Sagar Gaire Fast Food,1,Bhopal,Arera Colony,['Fast Food'],250,No,No,1,4.9,427
The Kasbah,1,Bhopal,Arera Colony,"['North Indian', 'Chinese']",700,No,No,2,3.9,126
Bake N Shake,1,Bhopal,Arera Colony,['Fast Food'],500,No,No,2,4.2,223
10 Downing Street,1,Bhopal,"DB City, Maharana Pratap Nagar","['North Indian', 'Chinese']",1000,No,No,3,4.0,257
Chi Kitchen,1,Bhopal,"DB City, Maharana Pratap Nagar",['Chinese'],1000,No,No,3,4.0,103
Pizza Hut,1,Bhopal,"DB City, Maharana Pratap Nagar",['Pizza'],650,No,No,2,4.1,118
Kafe Kulture,1,Bhopal,Gulmohar Colony,"['Cafe', 'Fast Food']",600,No,No,2,3.8,98
Violet Hour,1,Bhopal,Kohefiza,['Bakery'],500,No,No,2,3.8,33
Bapu Ki Kutia,1,Bhopal,Maharana Pratap Nagar,"['North Indian', 'Chinese', 'South Indian', 'Fast Food']",550,No,No,2,3.5,175
Da pizzeria,1,Bhopal,Maharana Pratap Nagar,"['Pizza', 'Italian', 'Fast Food']",500,No,No,2,3.6,111
Papa Mexicano,1,Bhopal,Maharana Pratap Nagar,"['Fast Food', 'Mexican', 'Tex-Mex']",350,No,No,2,3.6,20
Bake N Shake,1,Bhopal,Maharana Pratap Nagar,['Fast Food'],500,No,No,2,4.1,103
Manohar Dairy And Restaurant,1,Bhopal,Maharana Pratap Nagar,"['North Indian', 'South Indian', 'Street Food', 'Bakery']",400,No,No,2,4.4,243
Manohar Dairy And Restaurant,1,Bhopal,Peer Gate Area,"['North Indian', 'South Indian', 'Street Food', 'Bakery']",400,No,No,2,4.1,238
Kebabsville - Sayaji Hotel,1,Bhopal,Sayaji Hotel,['North Indian'],1800,No,No,4,4.3,128
Indian Coffee House,1,Bhopal,TT Nagar,['South Indian'],500,No,No,2,3.9,161
The Urban Socialite,1,Bhopal,TT Nagar,"['Italian', 'Mexican', 'Chinese']",900,No,No,3,3.8,79
Bake N Shake,1,Bhopal,TT Nagar,['Fast Food'],500,No,No,2,4.3,120
Tyre Patty,1,Bhubaneshwar,"BMC Bhawani Mall, Sahid Nagar",['Cafe'],500,No,No,2,3.9,289
Silver Streak,1,Bhubaneshwar,"BMC Bhawani Mall, Sahid Nagar",['Chinese'],550,No,No,2,4.1,379
Barbeque Nation,1,Bhubaneshwar,Chandrasekharpur,"['Mediterranean', 'Asian', 'Continental', 'North Indian', 'Arabian']",1200,No,No,3,4.6,154
Central Perk 7,1,Bhubaneshwar,Chandrasekharpur,"['Cafe', 'Charcoal Grill', 'Steak']",600,No,No,2,4.5,145
The Chicken Dinesty,1,Bhubaneshwar,Chandrasekharpur,"['Fast Food', 'North Indian', 'Chinese']",500,No,No,2,3.9,247
Taste Of China,1,Bhubaneshwar,Chandrasekharpur,['Chinese'],500,No,No,2,4.0,145
Michael's Kitchen,1,Bhubaneshwar,Gajapati Nagar,"['North Indian', 'Asian', 'European']",850,No,No,2,3.7,118
Mamma Mia - Mayfair Lagoon,1,Bhubaneshwar,"Mayfair Lagoon, Jayadev Vihar","['Cafe', 'Italian', 'Mexican', 'Bakery']",1400,No,No,3,4.1,256
99 North Restaurant,1,Bhubaneshwar,Patia,"['North Indian', 'Chinese']",450,No,No,1,3.6,173
Adda,1,Bhubaneshwar,Patia,"['North Indian', 'Chinese', 'Mexican', 'Beverages']",600,No,No,2,3.8,424
Chill Ummm,1,Bhubaneshwar,Patia,"['Chinese', 'North Indian', 'Cafe']",450,No,No,1,3.7,338
Lal Qila,1,Bhubaneshwar,Patia,"['Mughlai', 'Chinese', 'North Indian']",500,No,No,2,3.7,228
Richard's Kitchen & Coffee Bar,1,Bhubaneshwar,Patia,"['Cafe', 'Chinese', 'Fast Food', 'Seafood']",450,No,No,1,3.8,253
Aangan Horizon,1,Bhubaneshwar,Patia,"['North Indian', 'Chinese', 'Continental']",900,No,No,2,4.0,90
Brewberrys The Coffee Bar,1,Bhubaneshwar,Patia,['Cafe'],400,No,No,1,4.0,197
Chai Break,1,Bhubaneshwar,Patia,"['Italian', 'Cafe', 'Chinese', 'Continental']",800,No,No,2,4.3,69
JUGAAD JN.,1,Bhubaneshwar,Patia,"['North Indian', 'Rajasthani']",300,No,No,1,4.1,199
Cha cTea,1,Bhubaneshwar,Sahid Nagar,"['Cafe', 'Tea']",500,No,No,2,3.8,56
Food Fever,1,Bhubaneshwar,Sahid Nagar,"['Chinese', 'North Indian']",900,No,No,2,4.2,49
Mainland China,1,Bhubaneshwar,"The Crown, Nayapalli",['Chinese'],1500,No,No,3,4.3,345
Eram Rooftop,1,Bhubaneshwar,Unit 4,"['Asian', 'Continental']",400,No,No,1,3.5,89
The Night Factory,1,Chandigarh,Chandigarh Industrial Area,"['North Indian', 'Chinese', 'Continental', 'Pizza']",850,No,Yes,2,3.7,665
Brooklyn Central,1,Chandigarh,"Elante Mall, Chandigarh Industrial Area","['American', 'Cafe']",1600,No,No,3,4.2,676
Chili's,1,Chandigarh,"Elante Mall, Chandigarh Industrial Area","['Mexican', 'American', 'Italian']",1400,No,Yes,3,4.3,970
Kylin Experience,1,Chandigarh,"Elante Mall, Chandigarh Industrial Area","['Japanese', 'Chinese', 'Thai', 'Malaysian', 'Burmese', 'Asian']",1600,No,No,3,4.1,300
Mocha,1,Chandigarh,"Elante Mall, Chandigarh Industrial Area","['Continental', 'Italian', 'Thai', 'Finger Food']",1400,No,No,3,4.0,428
Pirates of Grill,1,Chandigarh,"Elante Mall, Chandigarh Industrial Area","['North Indian', 'Continental', 'Asian']",1200,No,No,3,4.0,1022
Barbeque Nation,1,Chandigarh,Sector 26,"['North Indian', 'Chinese']",1300,No,No,3,4.5,1450
TGI Friday's,1,Chandigarh,Sector 26,"['American', 'Tex-Mex']",1800,No,No,3,4.3,228
Pal Dhaba,1,Chandigarh,Sector 28,['North Indian'],700,No,No,2,3.8,982
Midnight Chef,1,Chandigarh,Sector 35,"['North Indian', 'Chinese', 'Continental', 'Italian', 'Burger']",1000,No,Yes,3,3.4,502
Nik Baker's,1,Chandigarh,Sector 35,"['Bakery', 'Desserts', 'Cafe']",650,No,No,2,4.1,698
OvenFresh,1,Chandigarh,Sector 35,"['Cafe', 'Bakery']",650,No,No,2,4.1,397
Super Donuts,1,Chandigarh,Sector 35,"['Burger', 'Fast Food', 'Desserts', 'Beverages']",450,No,Yes,1,4.0,265
Taco Bell,1,Chandigarh,Sector 35,"['Mexican', 'Fast Food']",600,No,Yes,2,4.2,252
Karim's,1,Chandigarh,Sector 7,"['Mughlai', 'North Indian']",800,No,No,2,3.3,86
Virgin Courtyard,1,Chandigarh,Sector 7,['Italian'],2200,No,No,4,4.4,817
Burgrill,1,Chandigarh,Sector 8,"['Burger', 'Fast Food']",500,No,Yes,2,4.5,249
Uncle Jack's,1,Chandigarh,Sector 8,"['Desserts', 'American']",600,No,No,2,4.0,356
That Madras Place,1,Chennai,Adyar,"['European', 'Italian', 'Desserts']",800,Yes,Yes,2,4.2,1810
Haunted,1,Chennai,Anna Nagar East,"['North Indian', 'Chinese', 'Arabian']",800,Yes,Yes,2,3.8,519
Pantry d'or,1,Chennai,Anna Nagar East,"['Continental', 'Cafe', 'Italian', 'Desserts']",750,Yes,Yes,2,4.4,1504
Palmshore,1,Chennai,Ashok Nagar,"['North Indian', 'Mughlai', 'Chinese', 'South Indian']",850,Yes,Yes,2,4.2,841
Chili's,1,Chennai,"Express Avenue Mall,  Royapettah","['Mexican', 'American', 'Tex-Mex', 'Burger']",1700,Yes,Yes,3,4.8,1262
Writer's Cafe,1,Chennai,Gopalapuram,"['Cafe', 'European']",450,No,Yes,1,4.2,191
Fusilli Reasons,1,Chennai,Kilpauk,['Italian'],350,No,No,1,4.6,1510
Ciclo Cafe,1,Chennai,Kotturpuram,"['Cafe', 'Continental']",1100,No,No,3,4.1,1004
Kaidi Kitchen,1,Chennai,Mylapore,"['Italian', 'Mexican', 'Chinese', 'Thai', 'North Indian']",1500,Yes,Yes,3,4.0,1820
Bombay Brasserie,1,Chennai,Nungambakkam,['North Indian'],1200,Yes,Yes,3,4.6,1753
Maplai,1,Chennai,Nungambakkam,"['South Indian', 'Chettinad']",1000,Yes,No,3,4.2,1714
Paradise,1,Chennai,Perungudi,"['Biryani', 'North Indian']",900,No,Yes,2,3.8,1317
L'amandier,1,Chennai,RA Puram,"['European', 'Cafe', 'Italian']",1200,Yes,Yes,3,4.3,1607
Palmshore,1,Chennai,Ramapuram,"['North Indian', 'Mughlai', 'Chinese', 'South Indian']",850,Yes,Yes,2,4.4,645
Palmshore,1,Chennai,Santhome,"['North Indian', 'Mughlai', 'Chinese', 'South Indian']",850,Yes,Yes,2,4.3,742
Basil With A Twist,1,Chennai,T. Nagar,"['Continental', 'Cafe', 'Spanish', 'Italian', 'European', 'Greek', 'Mediterranean']",1500,Yes,Yes,3,4.5,1210
Barbeque Nation,1,Chennai,T. Nagar,"['North Indian', 'Continental']",2000,No,No,4,4.4,3848
AB's - Absolute Barbecues,1,Chennai,Velachery,"['North Indian', 'European', 'Mediterranean']",1600,No,No,3,4.9,859
Coal Barbecues,1,Chennai,Velachery,"['North Indian', 'Mediterranean', 'Asian', 'Arabian']",1400,No,No,3,4.6,1267
Pind,1,Chennai,Velachery,"['North Indian', 'Chinese']",900,Yes,No,2,4.0,2272
Kuchi n Kream,1,Coimbatore,Gandhipuram,"['Cafe', 'Continental', 'Fast Food']",800,No,Yes,3,4.6,202
Haribhavanam Hotel,1,Coimbatore,Peelamedu,"['South Indian', 'Chettinad', 'North Indian']",600,No,No,2,3.9,318
Kites Cafe,1,Coimbatore,Peelamedu,['Cafe'],400,No,Yes,2,3.8,124
Zucca Pizzeria,1,Coimbatore,Peelamedu,['Pizza'],600,No,Yes,2,3.5,274
Burger Ka Baap,1,Coimbatore,Peelamedu,['Fast Food'],500,No,No,2,4.3,147
The Cascade Restaurant,1,Coimbatore,Peelamedu,['Chinese'],1200,No,Yes,3,4.1,243
24 Plus Cafe & Restaurant,1,Coimbatore,Podanur,"['Continental', 'Fast Food', 'Desserts', 'Indian']",450,No,No,2,3.8,24
Valarmathi Kongunaatu Samayal,1,Coimbatore,Race Course,"['South Indian', 'Biryani']",350,No,No,2,4.5,380
Bird On Tree,1,Coimbatore,Race Course,"['Continental', 'Chinese', 'Thai', 'Malaysian', 'North Indian']",1200,No,No,3,3.8,221
Tim's Bistro,1,Coimbatore,Race Course,"['North Indian', 'Continental']",700,No,Yes,2,3.9,85
Batlivala & Khanabhoy,1,Coimbatore,Race Course,"['Parsi', 'North Indian']",1200,No,No,3,4.2,40
Cafe Totaram,1,Coimbatore,Race Course,"['Cafe', 'Fast Food']",600,No,Yes,2,4.0,132
Cream Centre,1,Coimbatore,Race Course,"['North Indian', 'Chinese', 'Italian', 'Mexican']",1000,No,No,3,4.0,203
On The Go,1,Coimbatore,Race Course,"['Italian', 'North Indian', 'Desserts']",1500,No,No,4,4.0,215
Sree Annapoorna,1,Coimbatore,RS Puram,"['South Indian', 'North Indian', 'Chinese']",400,No,No,2,4.3,225
That's Y Food,1,Coimbatore,RS Puram,"['North Indian', 'Biryani']",1400,No,No,3,4.2,299
CakeBee,1,Coimbatore,Saibaba Colony,"['Bakery', 'Desserts']",350,No,Yes,2,4.9,200
Yari,1,Coimbatore,Saibaba Colony,"['North Indian', 'Chinese', 'Street Food']",700,No,No,2,4.2,221
Cream Stone,1,Coimbatore,"SMS Hotel, Peelamedu","['Desserts', 'Ice Cream']",300,No,No,1,4.3,161
Barbeque Nation,1,Coimbatore,Town Hall,"['North Indian', 'European', 'Mediterranean']",1400,No,No,3,4.4,505
The Punjabi Essence Restaurant,1,Dehradun,Chukkuwala,"['North Indian', 'Chinese']",800,No,No,3,3.6,102
Tirupati Restaurant,1,Dehradun,Chukkuwala,"['South Indian', 'North Indian', 'Chinese']",500,No,No,3,3.8,115
Anandam,1,Dehradun,Hathibarkala Salwala,"['Desserts', 'North Indian', 'Chinese', 'South Indian', 'Fast Food', 'Street Food']",650,No,No,3,3.9,141
Town Table Restaurant,1,Dehradun,Hathibarkala Salwala,"['North Indian', 'Chinese', 'Continental']",1000,No,No,4,3.9,173
Kalsang Friends Corner,1,Dehradun,Hathibarkala Salwala,"['Chinese', 'Thai', 'Tibetan']",750,No,No,3,4.2,406
The Great Indian Pub,1,Dehradun,Jakhan,['North Indian'],1500,No,No,4,4.9,50
BMG - All Day Dining,1,Dehradun,Jakhan,"['Chinese', 'North Indian', 'Fast Food']",0,No,No,1,4.3,63
Punjab Grill,1,Dehradun,Jakhan,"['Mughlai', 'North Indian']",1250,No,No,4,4.0,98
TBistro,1,Dehradun,Karanpur,"['North Indian', 'Chinese']",550,No,No,3,3.8,230
